Date,Open,High,Low,Close,Adj Close,Volume
01-08-2012,234.1399994,234.3800049,230.6999969,232.0899963,232.0899963,2543800
02-08-2012,230.5599976,234.3399963,228.6600037,230.8099976,230.8099976,3048100
03-08-2012,234.0299988,236.4900055,233.0299988,234.9700012,234.9700012,2825300
06-08-2012,235.5599976,235.7400055,233.8099976,233.9900055,233.9900055,1843700
07-08-2012,234.1300049,238,233.25,236.5599976,236.5599976,2058300
08-08-2012,235.2899933,236.4499969,233.5899963,234.3800049,234.3800049,1534300
09-08-2012,233.9299927,235.9900055,233.5,234.0599976,234.0599976,1548100
10-08-2012,233.0800018,234.8500061,231.4299927,232.75,232.75,1852500
13-08-2012,232.2299957,234.3699951,231,232.4400024,232.4400024,1997300
14-08-2012,234.7100067,236.7200012,232.6199951,233.1900024,233.1900024,2751000
15-08-2012,232.2599945,238.1399994,232.25,237.4199982,237.4199982,3264700
16-08-2012,237.7200012,242.8200073,236.1999969,241.5500031,241.5500031,4312100
17-08-2012,240.6000061,243.3500061,240.4700012,241.1699982,241.1699982,3085800
20-08-2012,241.3699951,241.6499939,238.1999969,240.3500061,240.3500061,1889900
21-08-2012,240.8800049,243.8500061,238.5500031,239.4499969,239.4499969,2571500
22-08-2012,239.3999939,244.8999939,238.8000031,243.1000061,243.1000061,2473700
23-08-2012,242.1399994,243.4799957,239.0200043,241.1999969,241.1999969,2453900
24-08-2012,241.6799927,246.8699951,241.3600006,245.7400055,245.7400055,3698800
27-08-2012,245.7899933,247.5,243.1199951,243.9199982,243.9199982,2929700
28-08-2012,243.9700012,246.7799988,243,246.1100006,246.1100006,2742300
29-08-2012,246.7799988,247.6100006,244.5899963,247.1199951,247.1199951,1772600
30-08-2012,246.9900055,250,245.25,246.2200012,246.2200012,3647500
31-08-2012,248.0700073,249.4499969,245.5,248.2700043,248.2700043,3347500
04-09-2012,248.2700043,251,244.6600037,247.8800049,247.8800049,3950800
05-09-2012,247.6100006,248.6100006,245.3000031,246.2200012,246.2200012,2652600
06-09-2012,248.2299957,252.6999969,247.1999969,251.3800049,251.3800049,5361400
07-09-2012,253.8500061,259.4200134,253.5200043,259.1400146,259.1400146,5029500
10-09-2012,259,260,256.8200073,257.0899963,257.0899963,2567200
11-09-2012,257.6000061,257.6000061,254.2599945,255.6699982,255.6699982,2524800
12-09-2012,256.5,257.7799988,253.5,255.6300049,255.6300049,2273200
13-09-2012,254.9400024,262,253.8000031,260.2399902,260.2399902,3525600
14-09-2012,261.3999939,264.1099854,259.769989,261.269989,261.269989,3666200
17-09-2012,261.25,261.25,257,258,258,2306300
18-09-2012,258.480011,260.5,257,258.75,258.75,2215000
19-09-2012,259.4500122,262.8399963,258.5299988,261.6799927,261.6799927,2636800
20-09-2012,260.0299988,260.8699951,258,260.8099976,260.8099976,2913600
21-09-2012,261.7399902,262,256.7399902,257.4700012,257.4700012,6059300
24-09-2012,255.2200012,255.6000061,253,254.8000031,254.8000031,2707900
25-09-2012,256.3299866,258.9500122,251.0299988,252.4600067,252.4600067,4405800
26-09-2012,252.3999939,254.6100006,248.2299957,249.6699982,249.6699982,2920500
27-09-2012,250.5399933,257.3999939,250.5200043,256.5899963,256.5899963,3397400
28-09-2012,256.1400146,257,253.1999969,254.3200073,254.3200073,2456600
01-10-2012,255.3999939,256.1600037,250.4900055,252.0099945,252.0099945,2581200
02-10-2012,252.8000031,253.1499939,249.0299988,250.6000061,250.6000061,2195800
03-10-2012,251.2100067,256.1000061,249.5599976,255.9199982,255.9199982,2745600
04-10-2012,256.0100098,261.519989,255.8699951,260.4700012,260.4700012,2700400
