Date,Open,High,Low,Close,Adj Close,Volume
02-08-2012,194.1600037,196.6000061,193.0200043,194.4499969,147.2386627,2812600
03-08-2012,196.4799957,198.9499969,196.1600037,198.5200043,150.3205109,3278100
06-08-2012,198.7599945,199.9400024,198.5200043,198.7599945,150.5021667,2337800
07-08-2012,199.4299927,200.8800049,198.8000031,199.9299927,151.3881378,3209400
08-08-2012,198.2700043,199.6900024,198.1600037,199.0299988,151.3501282,2068300
09-08-2012,198.6199951,199.4600067,197.8899994,198.4199982,150.8862762,2160100
10-08-2012,197.8699951,199.3699951,197.2400055,199.2899933,151.5478363,2600500
13-08-2012,198.8800049,199.9799957,197.7899933,199.0099945,151.3349304,2418300
14-08-2012,198.8800049,199.3300018,197.7200012,198.2899933,150.7874298,2562300
15-08-2012,198.8999939,199.3300018,197.9199982,198.3999939,150.8710632,2111800
16-08-2012,198.7700043,201.3200073,198.1199951,200.8399963,152.7265778,2729500
17-08-2012,201.0800018,202,200.6600037,201.2200012,153.0155029,2551800
20-08-2012,200.6900024,201.1300049,200.0299988,200.5,152.4679871,2336000
21-08-2012,200.9900055,201,198.3699951,198.6499939,151.061203,3111300
22-08-2012,198.6399994,198.6499939,196.8999939,197.25,149.996582,3296100
23-08-2012,197.0399933,197.3699951,195.4400024,195.6999969,148.8179016,2757400
24-08-2012,194.9600067,198.1100006,194.1999969,197.7700043,150.391983,2639500
27-08-2012,197.9600067,198.3000031,195.6100006,195.6900024,148.8102722,2498800
28-08-2012,195.5599976,196.1100006,194.5,194.8699951,148.1867065,2539200
29-08-2012,195.1300049,196.0399933,194.8999939,195.0800018,148.3464355,2141400
30-08-2012,194.7700043,195.4700012,193.1799927,193.3699951,147.0460205,2740900
31-08-2012,194.3099976,195.9499969,193.4600067,194.8500061,148.1715088,3193300
04-09-2012,196.6100006,197.1699982,193.25,194.5399933,147.9357605,4514400
05-09-2012,194.4100037,195.8500061,193.8899994,195.0399933,148.3159943,3312500
06-09-2012,196.2599945,199.4600067,196.1100006,199.1000061,151.4033661,3931700
07-09-2012,199.1199951,199.5,198.0800018,199.5,151.7075195,3413700
10-09-2012,199.3899994,201.8200073,198.7299957,200.9499969,152.8101807,4208000
