Date,Open,High,Low,Close,Adj Close,Volume
26-10-2012,63.43000031,64.23000336,63.31999969,63.91999817,50.6349411,5307700
31-10-2012,64.19000244,64.19000244,63.27999878,63.75,50.50027466,5837500
01-11-2012,62.97000122,63.72999954,62.68999863,62.93999863,49.85861969,6155000
02-11-2012,63.33000183,63.43000031,62.61999893,62.70999908,49.67642212,3711500
05-11-2012,63.16999817,63.61000061,63.08000183,63.40000153,50.22302246,3981200
06-11-2012,63.59999847,63.90000153,63.29999924,63.38999939,50.21509933,4005100
07-11-2012,63.02000046,63.22000122,62.31999969,62.79000092,49.7397995,5058700
08-11-2012,62.90999985,63.13999939,61.81999969,61.81999969,48.97140884,4568400
09-11-2012,61.68999863,62.43000031,61.50999832,62.02000046,49.12984085,3963600
12-11-2012,62.04999924,62.29999924,61.61000061,61.97999954,49.09814072,2295500
13-11-2012,61.83000183,62.91999817,61.65000153,62.09000015,49.18528366,3617600
14-11-2012,62.11000061,62.68999863,61.02000046,61.38000107,48.62285995,5525600
15-11-2012,62.22999954,62.97999954,61.13999939,62.43999863,49.46255112,8896000
16-11-2012,62.36999893,62.65999985,61.88999939,62.5,49.51006699,3858000
19-11-2012,62.88000107,63.24000168,62.63000107,63.00999832,50.20324326,5390100
20-11-2012,63,63.11999893,62.52999878,63,50.19528198,4713100
21-11-2012,63.04000092,63.81999969,62.88999939,63.72000122,50.76893616,4447800
23-11-2012,64.09999847,64.5,63.68999863,64.48000336,51.37446213,1819100
26-11-2012,64.12000275,64.12000275,62.59000015,62.77999878,50.01999664,6499400
27-11-2012,62.86999893,63.38000107,62.52000046,62.56999969,49.85267639,5039900
28-11-2012,62.50999832,62.97999954,62.27000046,62.81000137,50.04390335,4891800
29-11-2012,61.18999863,62.84999847,61.18999863,62.79000092,50.02796173,8909700
30-11-2012,62.66999817,63.24000168,62.06999969,63.13000107,50.29886246,6041000
03-12-2012,63.09999847,63.20000076,62.20999908,62.29999924,49.63755798,3570400
04-12-2012,62.31000137,62.31000137,61.34999847,61.99000168,49.39056778,4571400
05-12-2012,62.04999924,62.29999924,61.27999878,62.04000092,49.43040466,6021500
06-12-2012,62.08000183,62.5,61.70000076,62.20000076,49.5578804,3285700
07-12-2012,62.36999893,62.38999939,61.86000061,62.27999878,49.62162399,3634700
10-12-2012,62.18000031,62.27000046,61.70999908,61.95999908,49.36665726,3901900
11-12-2012,62.00999832,62.25,61.22000122,61.43000031,48.94438934,6364800
12-12-2012,61.47999954,61.72999954,60.45000076,60.54000092,48.23527527,8309800
13-12-2012,60.65000153,61.43000031,60.56000137,61.25,48.80096054,4233600
14-12-2012,60.97000122,61.29999924,60.47000122,60.5,48.20339966,3369100
17-12-2012,60.54000092,61.16999817,60.13999939,61.09000015,48.6734848,4928200
18-12-2012,61.18000031,62.27999878,61.15000153,62.27999878,49.62162399,5146900
19-12-2012,62.13999939,62.27999878,61.50999832,61.52000046,49.01608658,4660100
20-12-2012,60.70000076,61.02999878,59.86000061,60.36000061,48.09185028,8178600
21-12-2012,60.13000107,60.25,59.40999985,59.59999847,47.48632431,8667800
24-12-2012,59.56000137,59.81999969,59.45000076,59.54000092,47.43852997,1714400
26-12-2012,59.47000122,59.54000092,58.68000031,59.20999908,47.17559814,4671500
27-12-2012,59.06999969,59.31000137,58.49000168,58.93000031,46.95250702,3724100
28-12-2012,58.72999954,59.61999893,58.54000092,58.56999969,46.66567612,3477200
